City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description,Rain inches last 3 hours,Snow inches last 3 hours
0,Katsuura,35.13,140.3,54.0,40,75,9.17,JP,2020-02-24 00:55:24,broken clouds,0,0
1,Punta Arenas,-53.15,-70.92,46.4,70,75,34.45,CL,2020-02-24 00:58:29,broken clouds,0,0
2,Butaritari,3.07,172.79,85.03,76,68,16.37,KI,2020-02-24 00:58:30,moderate rain,3.94,0
3,Springdale,36.19,-94.13,48.2,100,90,8.05,US,2020-02-24 00:56:05,light rain,0,0
4,Fairbanks,64.84,-147.72,0.0,70,20,4.7,US,2020-02-24 00:55:36,few clouds,0,0
5,Ushuaia,-54.8,-68.3,44.6,70,40,24.16,AR,2020-02-24 00:55:05,shower rain,0,0
6,Progreso,21.28,-89.67,78.8,65,20,6.93,MX,2020-02-24 00:58:31,few clouds,0,0
7,Kaabong,3.48,34.15,72.03,44,100,6.35,UG,2020-02-24 00:58:31,overcast clouds,0,0
8,Luderitz,-26.65,15.16,69.21,63,0,16.44,NA,2020-02-24 00:58:31,clear sky,0,0
9,Aykhal,66.0,111.5,6.8,92,100,6.71,RU,2020-02-24 00:58:32,overcast clouds,0,0
10,Luanda,-8.84,13.23,80.6,83,75,4.7,AO,2020-02-24 00:55:35,broken clouds,0,0
11,Nanortalik,60.14,-45.24,27.09,90,100,5.53,GL,2020-02-24 00:58:32,light snow,0,1
12,Tual,-5.67,132.75,83.03,75,95,9.06,ID,2020-02-24 00:58:32,moderate rain,3.12,0
13,Rikitea,-23.12,-134.97,79.97,69,0,9.17,PF,2020-02-24 00:58:32,light rain,0.13,0
14,Bubaque,11.28,-15.83,78.87,71,85,23.85,GW,2020-02-24 00:55:19,overcast clouds,0,0
15,Antofagasta,-23.65,-70.4,69.8,73,40,5.82,CL,2020-02-24 00:58:33,scattered clouds,0,0
16,Albany,42.6,-73.97,37.4,40,1,3.04,US,2020-02-24 00:58:33,clear sky,0,0
17,Mataura,-46.19,168.86,67.1,62,82,1.19,NZ,2020-02-24 00:58:33,broken clouds,0,0
18,Bredasdorp,-34.53,20.04,62.01,81,0,4.7,ZA,2020-02-24 00:58:34,clear sky,0,0
19,Noumea,-22.28,166.46,89.6,52,79,12.75,NC,2020-02-24 00:58:34,broken clouds,0,0
20,Yellowknife,62.46,-114.35,-4.0,64,20,4.7,CA,2020-02-24 00:58:34,few clouds,0,0
21,Leh,34.17,77.58,-7.58,59,0,3.24,IN,2020-02-24 00:58:34,clear sky,0,0
22,Jamestown,42.1,-79.24,46.4,28,75,9.17,US,2020-02-24 00:58:34,broken clouds,0,0
23,Arraial Do Cabo,-22.97,-42.03,75.9,68,100,8.68,BR,2020-02-24 00:56:31,overcast clouds,0,0
24,North Bend,43.41,-124.22,48.2,66,90,12.75,US,2020-02-24 00:58:35,overcast clouds,0,0
25,Castro,-24.79,-50.01,60.91,84,89,8.34,BR,2020-02-24 00:54:51,overcast clouds,0,0
26,Sao Filipe,14.9,-24.5,68.67,82,39,8.63,CV,2020-02-24 00:55:43,scattered clouds,0,0
27,New Norfolk,-42.78,147.06,71.01,59,75,4.7,AU,2020-02-24 00:58:35,broken clouds,0,0
28,Sao Francisco,-15.95,-44.86,75.69,77,100,3.09,BR,2020-02-24 00:56:45,overcast clouds,0,0
29,Talnakh,69.49,88.4,17.6,92,90,33.55,RU,2020-02-24 00:58:36,overcast clouds,0,0
30,Atuona,-9.8,-139.03,81.37,76,20,11.83,PF,2020-02-24 00:58:36,few clouds,0,0
31,Norman Wells,65.28,-126.83,6.8,77,75,8.05,CA,2020-02-24 00:58:36,light snow,0,0
32,Tasiilaq,65.61,-37.64,12.2,56,44,5.82,GL,2020-02-24 00:55:32,scattered clouds,0,0
33,Alexandria,31.22,29.96,46.4,93,40,3.36,EG,2020-02-24 00:55:34,scattered clouds,0,0
34,Khiri Mat,16.83,99.8,79.0,77,20,4.7,TH,2020-02-24 00:58:37,mist,0,0
35,Puerto Ayora,-0.74,-90.35,82.4,78,75,9.17,EC,2020-02-24 00:58:37,broken clouds,0,0
36,Nizwa,22.93,57.53,65.28,50,48,1.25,OM,2020-02-24 00:58:37,scattered clouds,0,0
37,Langsa,4.47,97.97,72.45,91,32,3.18,ID,2020-02-24 00:58:38,scattered clouds,0,0
38,Sitka,57.05,-135.33,33.8,85,90,10.29,US,2020-02-24 00:54:22,light snow,0,0
39,Vaini,-21.2,-175.2,84.2,83,40,9.17,TO,2020-02-24 00:58:38,scattered clouds,0,0
40,Coquimbo,-29.95,-71.34,60.8,82,75,8.05,CL,2020-02-24 00:58:38,broken clouds,0,0
41,Campoverde,-8.48,-74.81,80.6,74,40,2.24,PE,2020-02-24 00:58:39,scattered clouds,0,0
