City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2020-02-23 08:30:14,-21.2,-175.2,80.6,83,75,10.29
1,Hualmay,PE,2020-02-23 08:30:25,-11.1,-77.61,71.62,73,99,1.99
2,Hobart,AU,2020-02-23 08:30:25,-42.88,147.33,68.0,68,75,18.34
3,Ushuaia,AR,2020-02-23 08:30:25,-54.8,-68.3,48.2,70,40,25.28
4,Disa,IN,2020-02-23 08:30:25,24.25,72.17,91.06,16,0,6.8
5,Jamestown,US,2020-02-23 08:28:48,42.1,-79.24,37.0,58,1,5.82
6,Olafsvik,IS,2020-02-23 08:30:26,64.89,-23.71,29.98,64,95,30.18
7,Lugoba,TZ,2020-02-23 08:30:26,-6.45,38.33,90.61,50,100,8.1
8,Hithadhoo,MV,2020-02-23 08:30:26,-0.6,73.08,82.92,78,85,15.14
9,San Patricio,MX,2020-02-23 08:30:27,19.22,-104.7,74.55,75,0,3.38
10,Saint George,US,2020-02-23 08:30:27,37.1,-113.58,44.01,100,90,4.7
11,Tuktoyaktuk,CA,2020-02-23 08:30:27,69.45,-133.04,-4.41,97,94,4.23
12,Waitati,NZ,2020-02-23 08:26:33,-45.75,170.57,60.01,69,100,4.68
13,Wenatchee,US,2020-02-23 08:30:27,47.42,-120.31,41.0,56,75,3.36
14,Yellowknife,CA,2020-02-23 08:30:28,62.46,-114.35,-7.01,69,75,6.93
15,Ravar,IR,2020-02-23 08:30:28,31.27,56.81,68.32,21,0,5.73
16,Tiksi,RU,2020-02-23 08:30:28,71.69,128.87,-10.89,91,100,6.06
17,Georgetown,MY,2020-02-23 08:29:57,5.41,100.34,93.2,55,20,13.87
18,Saint-Medard-En-Jalles,FR,2020-02-23 08:30:28,44.9,-0.72,48.2,93,90,4.7
19,Punta Arenas,CL,2020-02-23 08:30:29,-53.15,-70.92,51.01,62,93,21.0
20,Hermanus,ZA,2020-02-23 08:30:29,-34.42,19.23,79.0,59,0,11.01
21,Kotido,UG,2020-02-23 08:30:29,2.98,34.13,89.56,26,2,21.5
22,New Norfolk,AU,2020-02-23 08:30:29,-42.78,147.06,68.0,68,75,18.34
23,Arona,ES,2020-02-23 08:30:30,28.1,-16.68,75.2,31,10,24.16
24,Tessalit,ML,2020-02-23 08:30:30,20.2,1.01,79.81,11,6,17.69
25,Orsha,BY,2020-02-23 08:30:30,54.52,30.41,41.0,75,75,15.66
26,Busselton,AU,2020-02-23 08:30:22,-33.65,115.33,87.01,28,100,3.27
27,Mount Isa,AU,2020-02-23 08:30:31,-20.73,139.5,91.4,46,40,8.05
28,Port Alfred,ZA,2020-02-23 08:30:31,-33.59,26.89,71.01,68,88,5.01
29,Terrak,NO,2020-02-23 08:30:31,65.09,12.37,33.8,93,100,8.05
30,Outjo,NA,2020-02-23 08:30:31,-20.12,16.15,73.4,78,73,4.81
31,Bengkulu,ID,2020-02-23 08:30:32,-3.8,102.27,83.73,75,46,4.54
32,Barrow,US,2020-02-23 08:30:32,71.29,-156.79,-23.8,82,1,10.29
33,Waipawa,NZ,2020-02-23 08:30:32,-41.41,175.52,59.0,67,0,11.41
34,Kathu,TH,2020-02-23 08:30:32,7.92,98.33,93.2,41,20,10.29
35,Port Hedland,AU,2020-02-23 08:29:30,-20.32,118.57,95.0,44,97,11.41
36,Hurghada,EG,2020-02-23 08:30:09,27.26,33.81,64.4,39,75,14.99
37,Anito,PH,2020-02-23 08:30:33,12.45,125.29,80.08,80,54,20.36
38,Grand-Santi,GF,2020-02-23 08:30:33,4.25,-54.38,72.66,99,86,4.27
39,Carnarvon,AU,2020-02-23 08:30:33,-24.87,113.63,84.2,62,0,17.22
40,Salinopolis,BR,2020-02-23 08:30:34,-0.61,-47.36,81.03,82,100,13.06
41,Hitoyoshi,JP,2020-02-23 08:30:34,32.22,130.75,53.6,37,20,11.41
42,Narsaq,GL,2020-02-23 08:30:35,60.92,-46.05,24.8,73,100,10.29
43,Butaritari,KI,2020-02-23 08:30:35,3.07,172.79,84.76,77,76,14.7
44,Eureka,US,2020-02-23 08:30:35,40.8,-124.16,48.0,87,90,1.63
45,Lebu,CL,2020-02-23 08:30:36,-37.62,-73.65,49.19,93,0,1.14
46,Kattivakkam,IN,2020-02-23 08:30:36,13.22,80.32,89.6,55,40,9.17
47,Mataura,NZ,2020-02-23 08:30:36,-46.19,168.86,55.99,86,74,5.01
48,Port Blair,IN,2020-02-23 08:30:04,11.67,92.75,81.9,74,100,13.31
49,San Ramon,US,2020-02-23 08:27:06,37.78,-121.98,53.01,76,1,5.26
50,Chuy,UY,2020-02-23 08:30:37,-33.7,-53.46,57.22,91,0,3.13
51,Pevek,RU,2020-02-23 08:30:37,69.7,170.31,-11.07,97,100,6.82
52,Albany,US,2020-02-23 08:30:02,42.6,-73.97,28.99,73,1,4.47
53,Saint-Joseph,RE,2020-02-23 08:30:37,-21.37,55.62,86.0,66,46,6.93
54,Solikamsk,RU,2020-02-23 08:30:38,59.62,56.77,30.22,84,100,15.21
55,Tripoli,LY,2020-02-23 08:30:38,32.88,13.19,58.15,61,0,6.15
56,Santiago Del Estero,AR,2020-02-23 08:30:38,-27.8,-64.26,60.03,49,4,6.6
57,Erechim,BR,2020-02-23 08:30:39,-27.63,-52.27,51.17,91,34,6.35
58,Rikitea,PF,2020-02-23 08:30:39,-23.12,-134.97,79.11,66,0,3.83
59,Avarua,CK,2020-02-23 08:30:39,-21.21,-159.78,82.4,88,100,4.7
60,Gatesville,US,2020-02-23 08:30:39,31.44,-97.74,54.0,76,75,8.05
61,Lompoc,US,2020-02-23 08:30:39,34.64,-120.46,54.0,76,90,11.41
62,Thaton,MM,2020-02-23 08:30:40,16.92,97.37,97.61,20,0,10.6
63,Hasaki,JP,2020-02-23 08:30:40,35.73,140.83,51.8,29,20,13.87
64,Necochea,AR,2020-02-23 08:30:40,-38.55,-58.74,50.0,97,0,1.99
65,Quezon,PH,2020-02-23 08:30:40,7.73,125.1,86.14,44,21,8.1
66,Aketi,CD,2020-02-23 08:30:40,2.74,23.78,95.47,18,26,4.85
67,San Quintin,MX,2020-02-23 08:30:41,30.48,-115.95,55.6,79,0,8.16
68,Victoria,HK,2020-02-23 08:30:29,22.29,114.16,78.01,53,1,8.05
69,Meiganga,CM,2020-02-23 08:30:41,6.52,14.3,89.58,11,0,15.08
70,Kapaa,US,2020-02-23 08:29:57,22.08,-159.32,73.4,83,75,10.29
71,Srednekolymsk,RU,2020-02-23 08:30:42,67.45,153.68,-27.74,100,54,1.3
72,Ajdabiya,LY,2020-02-23 08:29:33,30.76,20.23,57.27,61,0,23.2
73,Makubetsu,JP,2020-02-23 08:30:42,45.37,141.82,30.2,80,75,27.51
74,Terrace,CA,2020-02-23 08:30:43,54.52,-128.6,33.8,80,90,13.87
75,Esperantinopolis,BR,2020-02-23 08:30:43,-4.87,-44.71,70.83,99,100,3.4
76,Codrington,AU,2020-02-23 08:30:43,-38.27,141.97,63.19,85,22,12.59
77,Bluff,NZ,2020-02-23 08:30:43,-46.6,168.33,55.99,86,37,5.01
78,Samana,DO,2020-02-23 08:30:43,19.21,-69.34,67.33,97,32,1.16
79,Arlit,NE,2020-02-23 08:30:44,18.74,7.39,79.86,12,79,17.16
80,Oksfjord,NO,2020-02-23 08:30:44,70.24,22.35,30.2,73,31,8.05
81,Merrill,US,2020-02-23 08:30:44,45.18,-89.68,30.2,80,1,4.7
82,San Fernando,PH,2020-02-23 08:30:44,15.03,120.69,87.8,51,75,16.11
83,Torbay,CA,2020-02-23 08:30:44,47.67,-52.73,30.0,86,90,13.87
84,Nicoya,CR,2020-02-23 08:30:45,10.15,-85.45,68.0,88,92,31.0
85,Thayetmyo,MM,2020-02-23 08:30:45,19.32,95.18,93.69,20,68,6.29
86,Zwedru,LR,2020-02-23 08:30:45,6.07,-8.13,82.6,73,52,3.87
87,Shingu,JP,2020-02-23 08:30:45,33.73,135.98,50.0,43,20,16.11
88,Provideniya,RU,2020-02-23 08:30:45,64.38,-173.3,-9.81,100,53,2.95
89,Broome,US,2020-02-23 08:30:46,42.25,-75.83,28.4,50,1,6.93
90,Mareeba,AU,2020-02-23 08:30:46,-17.0,145.43,82.0,88,90,9.17
91,Anshun,CN,2020-02-23 08:30:46,26.25,105.93,57.7,78,96,16.24
92,Pedasi,PA,2020-02-23 08:30:46,7.53,-80.03,77.74,77,92,25.01
